hostname,registered_domain,url,status,title,lev_distance,whois_days,suspicion_score
airtel.in,airtel.in,https://airtel.in:443,,302 Found,0,7569,4
airtelgrowth.airtel.in,airtel.in,https://airtelgrowth.airtel.in:443,,Airtel -,0,7569,4
assets.airtel.in,airtel.in,https://assets.airtel.in:443,,,0,7569,4
chatbot.airtel.in,airtel.in,https://chatbot.airtel.in:443,,Twixor,0,7569,4
airtelcms.airtel.in,airtel.in,https://airtelcms.airtel.in:443,,Airtel -,0,7569,4
buyer-uat.airtel.in,airtel.in,https://buyer-uat.airtel.in:443,,Welcome to nginx!,0,7569,4
buyer.airtel.in,airtel.in,https://buyer.airtel.in:443,,Welcome to nginx!,0,7569,4
blogassets.airtel.in,airtel.in,https://blogassets.airtel.in:443,,Airtel - Blog,0,7569,4
cm.airtel.in,airtel.in,https://cm.airtel.in:443,,,0,7569,4
alpha.airtel.in,airtel.in,https://alpha.airtel.in:443,,Access Not Permitted,0,7569,4
brandstories.airtel.in,airtel.in,https://brandstories.airtel.in:443,,,0,7569,4
airtel-advantage.airtel.in,airtel.in,https://airtel-advantage.airtel.in:443,,Airtel,0,7569,4
ddos-pr.airtelsecure.airtel.in,airtel.in,https://ddos-pr.airtelsecure.airtel.in:443,,DDOS-MUM-PI1 • Login — NETSCOUT | Arbor Sightline,0,7569,5
digi-api.airtel.in,airtel.in,https://digi-api.airtel.in:443,,,0,7569,4
digianalytics.airtel.in,airtel.in,https://digianalytics.airtel.in:443,,,0,7569,4
digimate.airtel.in,airtel.in,https://digimate.airtel.in:443,,Loading DigiMATE...,0,7569,4
cdn.smartapi.airtel.in,airtel.in,https://cdn.smartapi.airtel.in:443,,301 Moved Permanently,0,7569,4
bankingpoint.airtel.in,airtel.in,http://bankingpoint.airtel.in:80,,ERROR: The request could not be satisfied,0,7569,5
dashboard.airtel-advantage.airtel.in,airtel.in,https://dashboard.airtel-advantage.airtel.in:443,,,0,7569,4
eft.airtel.in,airtel.in,https://eft.airtel.in:443,,Redirect,0,7569,4
digi-api1.airtel.in,airtel.in,https://digi-api1.airtel.in:443,,,0,7569,4
dltconnect.airtel.in,airtel.in,https://dltconnect.airtel.in:443,,AIRTEL DLT,0,7569,4
al.airtel.in,airtel.in,https://al.airtel.in:443,,,0,7569,4
enterprisengin.airtel.in,airtel.in,https://enterprisengin.airtel.in:443,,301 Moved Permanently,0,7569,4
developers.airtel.in,airtel.in,https://developers.airtel.in:443,,Airtel API Marketplace,0,7569,4
es.airtel.in,airtel.in,https://es.airtel.in:443,,Error,0,7569,4
esbapi.airtel.in,airtel.in,https://esbapi.airtel.in:443,,,0,7569,4
esb.airtel.in,airtel.in,https://esb.airtel.in:443,,,0,7569,4
b2bblogassets.airtel.in,airtel.in,https://b2bblogassets.airtel.in:443,,"Airtel Business Blogs on Connectivity, IoT, Cloud and more.",0,7569,4
esbint.airtel.in,airtel.in,https://esbint.airtel.in:443,,,0,7569,4
dlt.airtel.in,airtel.in,https://dlt.airtel.in:443,,301 Moved Permanently,0,7569,4
